asn,ip,timestamp,malware,src_port,dst_ip,dst_port,dst_host,proto
37187,197.211.119.94,24/12/2025 11:53,android.vo1d2,45545,188.40.187.142,55590,,tcp
37440,137.115.5.157,24/12/2025 19:55,pseudo_manuscrypt,351,195.201.179.204,443,,tcp
36969,41.87.16.200,24/12/2025 7:06,android.vo1d2,41434,188.40.187.142,55590,,tcp
37294,102.70.95.241,24/12/2025 3:42,android.vo1d2,42657,188.40.187.142,55590,,tcp
37440,137.64.0.3,24/12/2025 0:42,m0yv,4374,85.214.228.140,80,dlynankz.biz,tcp
36969,41.221.100.6,24/12/2025 6:16,m0yv,6155,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.9.83,24/12/2025 12:02,m0yv,357,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.111,24/12/2025 10:11,m0yv,10348,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.113.228,24/12/2025 18:05,android.vo1d2,41706,188.40.187.142,55590,,tcp
37187,197.211.119.212,24/12/2025 20:11,android.vo1d2,42793,188.40.187.142,55590,,tcp
37440,137.115.3.240,24/12/2025 7:20,m0yv,4137,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.102,24/12/2025 15:24,m0yv,23190,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.139,24/12/2025 11:40,m0yv,14078,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.193,24/12/2025 19:48,m0yv,6949,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.46,24/12/2025 11:57,m0yv,3190,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.6,24/12/2025 13:23,android.vo1d2,5372,188.40.187.142,55590,,tcp
37440,137.115.8.63,24/12/2025 19:12,android.vo1d2,552,188.40.187.142,55590,,tcp
37440,137.115.3.147,24/12/2025 7:38,m0yv,6870,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.121,24/12/2025 12:40,m0yv,1657,85.214.228.140,80,dlynankz.biz,tcp
